ID,slug,reward,status,submission_result
37,prime-arrangements,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '0 ms', 'memory': 8040000, 'display_runtime': '0', 'question_id': '1279', 'elapsed_time': 13, 'compare_result': '1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742373267561, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 100, 'total_testcases': 100, 'runtime_percentile': 100, 'status_memory': '8 MB', 'memory_percentile': 21.927600000000005, 'pretty_lang': 'C++', 'submission_id': '1578856266', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
38,merge-two-binary-trees,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '0 ms', 'memory': 33572000, 'display_runtime': '0', 'question_id': '617', 'elapsed_time': 56, 'compare_result': '11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742373336327, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 182, 'total_testcases': 182, 'runtime_percentile': 100, 'status_memory': '33.6 MB', 'memory_percentile': 45.36349999999999, 'pretty_lang': 'C++', 'submission_id': '1578857087', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
39,minimum-operations-to-halve-array-sum,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '81 ms', 'memory': 93076000, 'display_runtime': '81', 'question_id': '2310', 'elapsed_time': 228, 'compare_result': '11111111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742373408281, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 62, 'total_testcases': 62, 'runtime_percentile': 78.92869999999998, 'status_memory': '93.1 MB', 'memory_percentile': 66.66670000000002, 'pretty_lang': 'C++', 'submission_id': '1578857913', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
40,maximize-win-from-two-segments,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '10 ms', 'memory': 63660000, 'display_runtime': '10', 'question_id': '2673', 'elapsed_time': 124, 'compare_result': '111111111111111111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742373486057, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 72, 'total_testcases': 72, 'runtime_percentile': 44.910399999999996, 'status_memory': '63.7 MB', 'memory_percentile': 25.149800000000035, 'pretty_lang': 'C++', 'submission_id': '1578858762', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
41,greatest-sum-divisible-by-three,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '40 ms', 'memory': 36952000, 'display_runtime': '40', 'question_id': '1388', 'elapsed_time': 84, 'compare_result': '1111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742373551179, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 43, 'total_testcases': 43, 'runtime_percentile': 36.671100000000045, 'status_memory': '37 MB', 'memory_percentile': 48.94909999999998, 'pretty_lang': 'C++', 'submission_id': '1578859545', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
42,loud-and-rich,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '24 ms', 'memory': 51520000, 'display_runtime': '24', 'question_id': '881', 'elapsed_time': 202, 'compare_result': '11111111111111111111111111111111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742373602339, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 86, 'total_testcases': 86, 'runtime_percentile': 37.86229999999999, 'status_memory': '51.5 MB', 'memory_percentile': 40.48879999999997, 'pretty_lang': 'C++', 'submission_id': '1578860131', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
43,relative-ranks,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '4 ms', 'memory': 17648000, 'display_runtime': '4', 'question_id': '506', 'elapsed_time': 25, 'compare_result': '111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742373681964, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 18, 'total_testcases': 18, 'runtime_percentile': 71.0526, 'status_memory': '17.6 MB', 'memory_percentile': 29.875899999999984, 'pretty_lang': 'C++', 'submission_id': '1578861080', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
44,lexicographically-smallest-string-after-substring-operation,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '4 ms', 'memory': 43996000, 'display_runtime': '4', 'question_id': '2828', 'elapsed_time': 149, 'compare_result': '111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742373740878, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 2241, 'total_testcases': 2241, 'runtime_percentile': 74.1784, 'status_memory': '44 MB', 'memory_percentile': 84.03750000000001, 'pretty_lang': 'C++', 'submission_id': '1578861770', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
45,minimum-sideway-jumps,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '461 ms', 'memory': 387060000, 'display_runtime': '461', 'question_id': '1952', 'elapsed_time': 688, 'compare_result': '111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742374191285, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 48, 'total_testcases': 48, 'runtime_percentile': 5.042499999999972, 'status_memory': '387.1 MB', 'memory_percentile': 9.678799999999974, 'pretty_lang': 'C++', 'submission_id': '1578867247', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
46,count-the-number-of-beautiful-subarrays,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '111 ms', 'memory': 124328000, 'display_runtime': '111', 'question_id': '2656', 'elapsed_time': 275, 'compare_result': '111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742374250863, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 114, 'total_testcases': 114, 'runtime_percentile': 54.321500000000036, 'status_memory': '124.3 MB', 'memory_percentile': 83.12780000000001, 'pretty_lang': 'C++', 'submission_id': '1578868018', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
